Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Maine,16,40.3,23.5,57.8,.407,6.4,16.6,.383,14.2,19.9,.717,12.4,15.8,11.2,23.6,34.8,13.2,6.6,2.3,67.6
Central Michigan,16,40.0,22.3,48.0,.465,6.9,16.8,.409,16.0,23.9,.670,14.3,18.2,9.0,24.2,33.2,12.9,4.8,3.4,67.5
Tulane,16,40.6,24.1,52.5,.460,5.8,16.4,.355,13.4,19.1,.705,13.6,18.5,9.9,23.6,33.6,14.6,6.0,4.5,67.5
Idaho,14,40.4,24.3,53.2,.456,6.1,17.4,.352,12.8,19.0,.673,11.4,16.8,9.1,20.7,29.8,12.1,6.1,2.9,67.5
Boise State,14,40.4,22.5,50.8,.443,8.0,20.8,.385,14.4,20.6,.699,11.6,16.9,7.4,24.7,32.1,12.9,5.2,2.6,67.4
Delaware,18,41.1,23.9,61.1,.391,4.8,15.8,.306,14.8,20.7,.713,10.4,20.8,11.7,25.0,36.7,9.5,6.6,3.4,67.4
Green Bay,18,40.3,23.8,55.3,.430,6.5,16.2,.401,13.3,18.8,.705,13.3,17.9,10.4,22.1,32.4,11.3,6.7,2.7,67.3
Colorado State,14,40.7,23.8,56.4,.422,7.7,21.4,.361,12.0,16.2,.740,10.9,17.6,10.0,22.5,32.4,13.9,5.1,3.9,67.3
South Dakota State,18,40.6,25.0,55.5,.450,5.9,17.8,.334,11.2,15.7,.714,12.1,18.9,8.1,21.6,29.8,13.1,4.7,2.3,67.3
Bethune-Cookman,16,40.0,23.2,50.5,.459,5.4,14.8,.364,15.4,21.8,.710,14.9,19.7,9.8,20.4,30.2,9.9,5.4,4.5,67.2
Howard,16,40.0,21.8,52.1,.419,4.9,17.3,.282,18.7,25.4,.736,14.6,19.4,10.8,21.4,32.2,11.6,6.6,4.2,67.2
Tennessee State,16,40.9,23.8,52.7,.452,6.9,19.5,.356,12.7,19.0,.668,15.9,19.8,8.9,21.2,30.1,11.8,6.2,2.9,67.2
Southern Mississippi,16,41.2,23.7,50.4,.470,5.4,15.2,.352,14.4,20.1,.720,13.8,20.1,7.4,23.1,30.4,11.9,5.2,4.6,67.2
Northwestern State,16,40.0,24.6,58.2,.422,4.7,15.1,.310,13.3,23.4,.568,16.4,19.5,14.3,23.8,38.1,12.1,7.3,2.8,67.1
Baylor,18,40.0,23.9,54.7,.438,6.4,18.7,.345,12.8,17.8,.717,13.3,17.6,9.9,19.0,28.9,14.4,6.5,3.1,67.1
USC Upstate,18,40.3,23.2,53.4,.433,6.1,18.4,.332,14.6,21.7,.674,15.9,19.4,10.5,21.4,31.9,11.7,6.9,3.0,67.1
Gardner-Webb,18,40.6,23.7,54.1,.438,5.9,17.4,.339,13.7,20.6,.668,12.3,18.2,8.8,23.0,31.8,13.2,6.6,3.4,67.1
Minnesota,18,41.1,22.0,52.9,.416,6.5,19.9,.327,16.6,22.9,.723,11.6,17.8,9.9,20.3,30.2,12.3,7.4,4.1,67.1
Richmond,16,40.0,24.4,54.0,.453,4.2,13.6,.312,13.9,19.6,.707,12.1,17.2,11.2,23.5,34.7,11.4,5.1,3.4,67.0
Belmont,18,40.0,23.7,56.4,.421,6.3,18.1,.347,13.3,19.4,.685,14.5,19.2,11.2,19.9,31.1,13.1,6.8,4.6,67.0
Weber State,16,40.0,23.4,56.1,.416,7.3,19.9,.367,12.9,18.4,.702,12.7,18.2,10.1,21.7,31.8,11.9,4.4,2.4,67.0
Iona,18,40.0,24.4,57.6,.425,6.7,20.4,.329,11.4,15.6,.732,15.5,17.8,10.7,20.6,31.3,12.5,4.7,3.0,67.0
William & Mary,18,40.3,24.0,53.8,.446,6.1,18.1,.334,12.8,18.2,.701,9.8,16.4,9.2,23.6,32.9,12.4,7.0,4.1,66.8
Southern Utah,18,40.8,22.2,50.0,.444,5.2,15.3,.337,17.2,24.8,.695,12.3,18.4,7.8,19.1,26.9,10.1,6.4,2.3,66.8
Georgia Southern,18,40.8,24.3,53.8,.452,6.7,19.7,.342,11.4,17.2,.661,15.2,17.4,8.9,23.3,32.2,12.9,5.9,1.9,66.8
Southeast Missouri State,16,40.0,22.4,54.6,.411,5.5,15.9,.346,16.4,22.5,.728,10.4,17.8,9.1,20.1,29.2,9.6,5.7,2.8,66.8
LSU,16,40.9,23.7,53.8,.441,5.1,15.4,.329,14.2,21.4,.667,13.1,17.3,10.3,24.8,35.1,10.6,7.4,4.0,66.7
Loyola Marymount,16,40.3,24.1,57.1,.421,5.6,19.8,.285,12.9,18.1,.716,13.6,18.3,11.3,22.6,33.9,12.6,6.0,3.5,66.7
St. Bonaventure,16,40.9,23.2,54.8,.423,5.6,18.2,.306,14.7,20.8,.708,12.2,18.9,9.2,19.3,28.4,12.4,6.1,3.0,66.6
Eastern Illinois,16,40.0,23.6,51.2,.461,6.5,16.9,.384,12.9,18.6,.694,13.0,15.9,10.6,20.6,31.2,12.4,6.1,2.9,66.6
Charleston,18,41.1,24.5,59.2,.414,6.3,19.8,.317,11.3,15.9,.711,15.4,18.5,11.1,26.2,37.3,12.6,5.5,2.4,66.6
